Farm	UniqueID	DOB	Group	Visit	Date	LastTreatmentDays	LastTreatmentCat	EPG	Serum	Copro	dEPG	dSerum	dCopro
C1	C1_3338	2010-01-08	Multiparous	F	2016-08-22	NA	LongerOrNever	0.2	53.7	0.83	TRUE	TRUE	FALSE
C1	C1_3338	2010-01-08	Multiparous	G	2017-01-19	NA	LongerOrNever	NA	6.8	0.99	NA	FALSE	FALSE
C1	C1_3338	2010-01-08	Multiparous	D	2016-02-05	NA	LongerOrNever	0	59.8	0.63	FALSE	TRUE	FALSE
C1	C1_3338	2010-01-08	Multiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.09	FALSE	NA	FALSE
C1	C1_3338	2010-01-08	Multiparous	E	2016-04-11	NA	LongerOrNever	0	59.1	0.63	FALSE	TRUE	FALSE
C1	C1_3338	2010-01-08	Multiparous	B	2015-08-06	NA	LongerOrNever	0	65.3	0.12	FALSE	TRUE	FALSE
C1	C1_3338	2010-01-08	Multiparous	C	2015-11-17	NA	LongerOrNever	0	11.4	0.27	FALSE	FALSE	FALSE
C1	C1_3422	2010-07-28	Multiparous	G	2017-01-19	NA	LongerOrNever	NA	155	0.92	NA	TRUE	FALSE
C1	C1_3422	2010-07-28	Multiparous	B	2015-08-06	NA	LongerOrNever	0	114.2	0.96	FALSE	TRUE	FALSE
C1	C1_3422	2010-07-28	Multiparous	F	2016-08-22	NA	LongerOrNever	0	222.7	1.06	FALSE	TRUE	FALSE
C1	C1_3422	2010-07-28	Multiparous	A	2015-05-04	NA	LongerOrNever	0	NA	9.83	FALSE	NA	TRUE
C1	C1_3422	2010-07-28	Multiparous	E	2016-04-11	NA	LongerOrNever	0	143.6	0.45	FALSE	TRUE	FALSE
C1	C1_3422	2010-07-28	Multiparous	D	2016-02-05	NA	LongerOrNever	0	146.2	1	FALSE	TRUE	FALSE
C1	C1_3422	2010-07-28	Multiparous	C	2015-11-17	NA	LongerOrNever	0.2	119.7	0.35	TRUE	TRUE	FALSE
C1	C1_3445	2010-09-22	Multiparous	A	2015-05-04	NA	LongerOrNever	0.8	NA	12.39	TRUE	NA	TRUE
C1	C1_3445	2010-09-22	Multiparous	D	2016-02-05	NA	LongerOrNever	0	31.2	2.54	FALSE	TRUE	TRUE
C1	C1_3445	2010-09-22	Multiparous	B	2015-08-06	NA	LongerOrNever	0	90.9	1.33	FALSE	TRUE	FALSE
C1	C1_3445	2010-09-22	Multiparous	E	2016-04-11	NA	LongerOrNever	0	47.4	1.7	FALSE	TRUE	TRUE
C1	C1_3445	2010-09-22	Multiparous	G	2017-01-19	NA	LongerOrNever	NA	138.3	3.93	NA	TRUE	TRUE
C1	C1_3445	2010-09-22	Multiparous	C	2015-11-17	NA	LongerOrNever	0.2	96.9	3.32	TRUE	TRUE	TRUE
C1	C1_3445	2010-09-22	Multiparous	F	2016-08-22	NA	LongerOrNever	0	147.6	1.4	FALSE	TRUE	FALSE
C1	C1_3473	2010-11-07	Multiparous	F	2016-08-22	NA	LongerOrNever	0	10.3	1.08	FALSE	FALSE	FALSE
C1	C1_3473	2010-11-07	Multiparous	D	2016-02-05	NA	LongerOrNever	0	106.4	-0.08	FALSE	TRUE	FALSE
C1	C1_3473	2010-11-07	Multiparous	G	2017-01-19	NA	LongerOrNever	NA	7	0.86	NA	FALSE	FALSE
C1	C1_3473	2010-11-07	Multiparous	E	2016-04-11	NA	LongerOrNever	0	89.1	0.64	FALSE	TRUE	FALSE
C1	C1_3473	2010-11-07	Multiparous	B	2015-08-06	NA	LongerOrNever	0	110.6	0.55	FALSE	TRUE	FALSE
C1	C1_3473	2010-11-07	Multiparous	C	2015-11-17	NA	LongerOrNever	0.2	60.8	0.07	TRUE	TRUE	FALSE
C1	C1_3473	2010-11-07	Multiparous	A	2015-05-04	NA	LongerOrNever	0	NA	0.22	FALSE	NA	FALSE
C1	C1_3508	2011-01-21	Multiparous	F	2016-08-22	NA	LongerOrNever	0	3.5	0.61	FALSE	FALSE	FALSE
