UniqueID	Farm_ID	Group_ID
C1_3338	1	4
C1_3422	1	4
C1_3445	1	4
C1_3473	1	4
C1_3508	1	4
C1_3540	1	4
C1_3582	1	4
C1_3632	1	4
C1_3667	1	4
C1_3677	1	4
C1_3683	1	4
C1_3699	1	4
C1_3711	1	4
C1_3736	1	3
C1_3779	1	3
C1_3781	1	3
C1_3783	1	3
C1_3795	1	3
C1_3797	1	3
C1_3812	1	3
C1_3815	1	3
C1_3817	1	3
C1_3822	1	3
C1_3823	1	3
C1_3833	1	3
C1_3837	1	3
C1_3890	1	3
C1_4011	1	2
C1_4013	1	2
C1_4035	1	2
C1_4037	1	2
C1_4042	1	2
C1_4043	1	2
C1_4050	1	2
C1_4061	1	2
C1_4064	1	2
C1_4065	1	2
C1_4066	1	2
C1_4115	1	1
C1_4117	1	1
C1_4118	1	1
C1_4119	1	1
C1_4120	1	1
C1_4121	1	1
C1_4124	1	1
C1_4135	1	1
C1_4138	1	1
C1_4140	1	1
C1_4146	1	1
C2_1779	2	4
C2_1921	2	4
C2_2027	2	4
C2_2042	2	4
C2_2058	2	4
C2_2060	2	4
C2_2079	2	4
C2_2080	2	4
C2_2083	2	4
C2_2120	2	4
C2_2133	2	4
C2_2154	2	4
C2_2177	2	4
C2_2188	2	3
C2_2219	2	3
C2_2232	2	3
C2_2234	2	3
C2_2243	2	3
C2_2247	2	2
C2_2248	2	3
C2_2251	2	3
C2_2253	2	3
C2_2267	2	3
C2_2268	2	3
C2_2286	2	3
C2_2287	2	3
C2_2299	2	3
C2_2303	2	2
C2_2314	2	2
C2_2318	2	2
C2_2319	2	2
C2_2322	2	2
C2_2324	2	2
C2_2326	2	2
C2_2330	2	2
C2_2332	2	2
C2_2350	2	2
C2_2355	2	2
C2_2375	2	2
C2_2441	2	2
C2_2442	2	1
C2_2443	2	1
C2_2445	2	1
C2_2446	2	1
C2_2450	2	1
C2_2453	2	1
C2_2460	2	1
C2_2468	2	1
C2_2471	2	1
C2_2476	2	1
C2_2477	2	1
C2_2478	2	1
C2_2482	2	1
C2_2485	2	1
C2_2488	2	1
C2_2490	2	1
O1_2064	3	4
O1_2094	3	4
O1_2098	3	4
O1_2162	3	4
O1_2172	3	4
O1_2252	3	4
O1_2265	3	4
O1_2266	3	4
O1_2272	3	4
O1_2358	3	4
O1_2363	3	4
O1_2366	3	4
O1_2409	3	4
O1_2572	3	4
O1_2580	3	4
O1_2661	3	4
O1_2694	3	3
O1_2724	3	3
O1_2730	3	3
O1_2734	3	3
O1_2739	3	3
O1_2740	3	3
O1_2742	3	3
O1_2743	3	3
O1_2749	3	3
O1_2784	3	3
O1_2787	3	3
O1_2807	3	3
O1_2820	3	3
O1_2833	3	3
O1_2834	3	2
O1_2905	3	2
O1_2913	3	2
O1_2920	3	2
O1_2923	3	2
O1_2927	3	2
O1_2930	3	2
O1_2933	3	2
O1_2936	3	2
O1_2942	3	2
O1_2951	3	2
O1_2955	3	2
O1_2957	3	2
O1_2962	3	2
O1_2963	3	2
O1_2967	3	2
O1_2968	3	2
O1_2971	3	2
O1_3033	3	1
O1_3048	3	1
O1_3071	3	1
O1_3080	3	1
O1_3082	3	1
O1_3084	3	1
O1_3089	3	1
O1_3091	3	1
O1_3094	3	1
O1_3097	3	1
O1_3112	3	1
O1_3125	3	1
O2_2411	4	4
O2_2451	4	4
O2_2459	4	4
O2_2493	4	4
O2_2533	4	4
O2_2552	4	4
O2_2599	4	4
O2_2630	4	4
O2_2669	4	4
O2_2693	4	4
O2_2716	4	4
O2_2731	4	4
O2_2763	4	3
O2_2767	4	3
O2_2774	4	4
O2_2798	4	3
O2_2799	4	4
O2_2800	4	3
O2_2806	4	4
O2_2807	4	3
O2_2808	4	3
O2_2810	4	3
O2_2818	4	3
O2_2832	4	3
O2_2845	4	3
O2_2857	4	3
O2_2858	4	3
O2_2862	4	3
O2_2863	4	3
O2_2870	4	3
O2_2887	4	2
O2_2892	4	2
O2_2899	4	2
O2_2911	4	2
O2_2915	4	2
O2_2921	4	2
O2_2925	4	3
O2_2942	4	2
O2_2947	4	2
O2_2948	4	2
O2_2951	4	2
O2_2952	4	2
O2_2961	4	2
O2_2974	4	2
O2_2979	4	2
O2_3001	4	2
O2_3004	4	2
O2_3005	4	2
O2_3007	4	2
O2_3024	4	2
O2_3027	4	2
O2_3031	4	2
O2_3032	4	2
O2_3050	4	1
O2_3072	4	1
O2_3078	4	1
O2_3082	4	1
O2_3087	4	1
O2_3088	4	1
O2_3089	4	1
O2_3093	4	1
O2_3101	4	1
O2_3108	4	1
O2_3140	4	1
